"filename", "language", "YAML", "Dart", "HTML", "Properties", "C++", "JSON", "Markdown", "Groovy", "Swift", "XML", "comment", "blank", "total"
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\viewmodels\user_viewmodel\user_action.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 15
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\viewmodels\user_viewmodel\user_viewmodel.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 121
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_information_view\account_information_view.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_information_view\widgets\account_information_action.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 55
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_information_view\widgets\account_information_body.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_information_view\widgets\account_information_form.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_passwrod_view\account_password_view.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_passwrod_view\widgets\account_password_action.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 55
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_passwrod_view\widgets\account_password_body.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\account_passwrod_view\widgets\account_password_form.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\address_view.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 135
